E;fy;L;Lf;t;Ncrk;bw;bf;bs;Theta
  210.00;0.410;1000.00; 120.00;1.50;29.03;50.00;23.00;12.00;90.00;
  210.00;0.410;1000.00; 200.00;1.50;77.59;74.00;41.00;22.00;90.00;
  210.00;0.410;1000.00; 250.00;1.50;95.39;80.00;61.00;24.00;90.00;
  210.00;0.410;1000.00; 300.00;1.50;109.31;94.00;75.00;28.00;90.00;
  210.00;0.410;1000.00; 350.00;1.50;120.55;104.00;92.00;31.00;90.00;
  210.00;0.410;1000.00; 400.00;1.50;129.82;120.00;104.00;36.00;90.00;
  210.00;0.410;1000.00; 450.00;1.50;137.40;130.00;121.00;39.00;90.00;
  210.00;0.410;1000.00; 500.00;1.50;143.83;144.00;135.00;43.00;90.00;
  210.00;0.410;1000.00; 120.00;2.00;42.94;48.00;24.00;12.00;90.00;
  210.00;0.410;1000.00; 200.00;2.00;111.41;84.00;34.00;24.00;90.00;
  210.00;0.410;1000.00; 250.00;2.00;151.17;90.00;53.00;27.00;90.00;
  210.00;0.410;1000.00; 300.00;2.00;176.20;94.00;75.00;28.00;90.00;
  210.00;0.410;1000.00; 350.00;2.00;195.28;104.00;92.00;31.00;90.00;
  210.00;0.410;1000.00; 400.00;2.00;211.31;120.00;104.00;36.00;90.00;
  210.00;0.410;1000.00; 450.00;2.00;224.33;130.00;121.00;39.00;90.00;
  210.00;0.410;1000.00; 500.00;2.00;235.47;144.00;135.00;43.00;90.00;
  210.00;0.410;1000.00; 120.00;2.25;50.51;48.00;25.00;11.00;90.00;
  210.00;0.410;1000.00; 200.00;2.25;125.99;82.00;35.00;24.00;90.00;
  210.00;0.410;1000.00; 250.00;2.25;177.79;100.00;45.00;30.00;90.00;
  210.00;0.410;1000.00; 300.00;2.25;212.67;98.00;72.00;29.00;90.00;
  210.00;0.410;1000.00; 350.00;2.25;237.23;104.00;92.00;31.00;90.00;
  210.00;0.410;1000.00; 400.00;2.25;257.30;120.00;104.00;36.00;90.00;
  210.00;0.410;1000.00; 450.00;2.25;273.57;130.00;121.00;39.00;90.00;
  210.00;0.410;1000.00; 500.00;2.25;287.55;144.00;135.00;43.00;90.00;
  210.00;0.410;1000.00; 120.00;2.65;62.83;46.00;26.00;11.00;90.00;
  210.00;0.410;1000.00; 200.00;2.65;150.27;82.00;35.00;24.00;90.00;
  210.00;0.410;1000.00; 250.00;2.65;211.31;104.00;42.00;31.00;90.00;
  210.00;0.410;1000.00; 300.00;2.65;267.04;114.00;59.00;34.00;90.00;
  210.00;0.410;1000.00; 350.00;2.65;309.87;110.00;87.00;33.00;90.00;
  210.00;0.410;1000.00; 400.00;2.65;337.26;120.00;104.00;36.00;90.00;
  210.00;0.410;1000.00; 450.00;2.65;359.52;134.00;118.00;40.00;90.00;
  210.00;0.410;1000.00; 500.00;2.65;378.66;144.00;135.00;43.00;90.00;
  210.00;0.410;1000.00; 120.00;3.00;74.65;44.00;27.00;11.00;90.00;
  210.00;0.410;1000.00; 200.00;3.00;171.31;80.00;36.00;24.00;90.00;
  210.00;0.410;1000.00; 250.00;3.00;239.71;104.00;43.00;30.00;90.00;
  210.00;0.410;1000.00; 300.00;3.00;309.25;125.00;50.00;37.50;90.00;
  210.00;0.410;1000.00; 350.00;3.00;367.35;124.00;76.00;37.00;90.00;
  210.00;0.410;1000.00; 400.00;3.00;412.97;120.00;104.00;36.00;90.00;
  210.00;0.410;1000.00; 450.00;3.00;441.26;134.00;118.00;40.00;90.00;
  210.00;0.410;1000.00; 500.00;3.00;465.54;144.00;135.00;43.00;90.00;
  210.00;0.410;1000.00; 120.00;3.25;81.78;42.00;27.00;12.00;90.00;
  210.00;0.410;1000.00; 200.00;3.25;187.17;80.00;36.00;24.00;90.00;
  210.00;0.410;1000.00; 250.00;3.25;260.45;104.00;43.00;30.00;90.00;
  210.00;0.410;1000.00; 300.00;3.25;335.15;124.00;51.00;37.00;90.00;
  210.00;0.410;1000.00; 350.00;3.25;404.64;134.00;68.00;40.00;90.00;
  210.00;0.410;1000.00; 400.00;3.25;463.13;130.00;96.00;39.00;90.00;
  210.00;0.410;1000.00; 450.00;3.25;503.02;134.00;118.00;40.00;90.00;
  210.00;0.410;1000.00; 500.00;3.25;531.40;150.00;130.00;45.00;90.00;
  210.00;0.410;1000.00; 120.00;3.75;97.81;40.00;28.00;12.00;90.00;
  210.00;0.410;1000.00; 200.00;3.75;218.30;80.00;37.00;23.00;90.00;
  210.00;0.410;1000.00; 250.00;3.75;301.85;102.00;44.00;30.00;90.00;
  210.00;0.410;1000.00; 300.00;3.75;387.60;124.00;51.00;37.00;90.00;
  210.00;0.410;1000.00; 350.00;3.75;472.07;146.00;59.00;43.00;90.00;
  210.00;0.410;1000.00; 400.00;3.75;550.77;154.00;77.00;46.00;90.00;
  210.00;0.410;1000.00; 450.00;3.75;620.41;150.00;105.00;45.00;90.00;
  210.00;0.410;1000.00; 500.00;3.75;671.70;150.00;130.00;45.00;90.00;
  210.00;0.410;1000.00; 120.00;4.00;106.96;40.00;29.00;11.00;90.00;
  210.00;0.410;1000.00; 200.00;4.00;234.88;80.00;37.00;23.00;90.00;
  210.00;0.410;1000.00; 250.00;4.00;323.01;102.00;44.00;30.00;90.00;
  210.00;0.410;1000.00; 300.00;4.00;413.95;124.00;51.00;37.00;90.00;
  210.00;0.410;1000.00; 350.00;4.00;503.81;146.00;59.00;43.00;90.00;
  210.00;0.410;1000.00; 400.00;4.00;592.53;164.00;69.00;49.00;90.00;
  210.00;0.410;1000.00; 450.00;4.00;670.67;160.00;97.00;48.00;90.00;
  210.00;0.410;1000.00; 500.00;4.00;741.95;154.00;127.00;46.00;90.00;
  210.00;0.345;1000.00; 120.00;1.50;28.32;50.00;23.00;12.00;90.00;
  210.00;0.345;1000.00; 200.00;1.50;71.61;76.00;40.00;22.00;90.00;
  210.00;0.345;1000.00; 250.00;1.50;88.27;80.00;61.00;24.00;90.00;
  210.00;0.345;1000.00; 300.00;1.50;100.47;90.00;78.00;27.00;90.00;
  210.00;0.345;1000.00; 350.00;1.50;110.14;104.00;92.00;31.00;90.00;
  210.00;0.345;1000.00; 400.00;1.50;118.06;120.00;104.00;36.00;90.00;
  210.00;0.345;1000.00; 450.00;1.50;124.73;130.00;121.00;39.00;90.00;
  210.00;0.345;1000.00; 500.00;1.50;130.32;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;2.00;41.21;48.00;24.00;12.00;90.00;
  210.00;0.345;1000.00; 200.00;2.00;99.67;84.00;34.00;24.00;90.00;
  210.00;0.345;1000.00; 250.00;2.00;136.01;94.00;50.00;28.00;90.00;
  210.00;0.345;1000.00; 300.00;2.00;161.30;90.00;78.00;27.00;90.00;
  210.00;0.345;1000.00; 350.00;2.00;177.99;104.00;92.00;31.00;90.00;
  210.00;0.345;1000.00; 400.00;2.00;191.76;120.00;104.00;36.00;90.00;
  210.00;0.345;1000.00; 450.00;2.00;203.25;130.00;121.00;39.00;90.00;
  210.00;0.345;1000.00; 500.00;2.00;212.97;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;2.25;48.13;48.00;25.00;11.00;90.00;
  210.00;0.345;1000.00; 200.00;2.25;112.62;82.00;35.00;24.00;90.00;
  210.00;0.345;1000.00; 250.00;2.25;156.87;104.00;42.00;31.00;90.00;
  210.00;0.345;1000.00; 300.00;2.25;191.50;104.00;67.00;31.00;90.00;
  210.00;0.345;1000.00; 350.00;2.25;215.95;104.00;92.00;31.00;90.00;
  210.00;0.345;1000.00; 400.00;2.25;233.24;120.00;104.00;36.00;90.00;
  210.00;0.345;1000.00; 450.00;2.25;247.63;130.00;121.00;39.00;90.00;
  210.00;0.345;1000.00; 500.00;2.25;259.84;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;2.65;59.36;46.00;26.00;11.00;90.00;
  210.00;0.345;1000.00; 200.00;2.65;134.06;82.00;35.00;24.00;90.00;
  210.00;0.345;1000.00; 250.00;2.65;185.03;104.00;42.00;31.00;90.00;
  210.00;0.345;1000.00; 300.00;2.65;235.26;122.00;53.00;36.00;90.00;
  210.00;0.345;1000.00; 350.00;2.65;276.15;118.00;81.00;35.00;90.00;
  210.00;0.345;1000.00; 400.00;2.65;305.19;120.00;104.00;36.00;90.00;
  210.00;0.345;1000.00; 450.00;2.65;324.69;134.00;118.00;40.00;90.00;
  210.00;0.345;1000.00; 500.00;2.65;341.69;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;3.00;69.98;44.00;27.00;11.00;90.00;
  210.00;0.345;1000.00; 200.00;3.00;152.66;80.00;36.00;24.00;90.00;
  210.00;0.345;1000.00; 250.00;3.00;209.83;104.00;43.00;30.00;90.00;
  210.00;0.345;1000.00; 300.00;3.00;267.62;125.00;50.00;37.50;90.00;
  210.00;0.345;1000.00; 350.00;3.00;321.34;134.00;68.00;40.00;90.00;
  210.00;0.345;1000.00; 400.00;3.00;367.76;130.00;96.00;39.00;90.00;
  210.00;0.345;1000.00; 450.00;3.00;398.09;130.00;121.00;39.00;90.00;
  210.00;0.345;1000.00; 500.00;3.00;419.57;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;3.25;77.80;44.00;28.00;10.00;90.00;
  210.00;0.345;1000.00; 200.00;3.25;166.57;80.00;36.00;24.00;90.00;
  210.00;0.345;1000.00; 250.00;3.25;227.88;104.00;43.00;30.00;90.00;
  210.00;0.345;1000.00; 300.00;3.25;290.01;124.00;51.00;37.00;90.00;
  210.00;0.345;1000.00; 350.00;3.25;351.43;146.50;58.00;43.75;90.00;
  210.00;0.345;1000.00; 400.00;3.25;404.61;142.00;87.00;42.00;90.00;
  210.00;0.345;1000.00; 450.00;3.25;452.01;136.00;117.00;40.00;90.00;
  210.00;0.345;1000.00; 500.00;3.25;478.43;144.00;135.00;43.00;90.00;
  210.00;0.345;1000.00; 120.00;3.75;92.82;42.00;29.00;10.00;90.00;
  210.00;0.345;1000.00; 200.00;3.75;193.94;80.00;37.00;23.00;90.00;
  210.00;0.345;1000.00; 250.00;3.75;263.91;102.00;44.00;30.00;90.00;
  210.00;0.345;1000.00; 300.00;3.75;335.27;124.00;51.00;37.00;90.00;
  210.00;0.345;1000.00; 350.00;3.75;405.56;146.00;59.00;43.00;90.00;
  210.00;0.345;1000.00; 400.00;3.75;475.04;166.00;68.00;49.00;90.00;
  210.00;0.345;1000.00; 450.00;3.75;537.57;162.00;96.00;48.00;90.00;
  210.00;0.345;1000.00; 500.00;3.75;596.83;158.00;124.00;47.00;90.00;
  210.00;0.345;1000.00; 120.00;4.00;99.14;40.00;29.00;11.00;90.00;
  210.00;0.345;1000.00; 200.00;4.00;208.39;80.00;37.00;23.00;90.00;
  210.00;0.345;1000.00; 250.00;4.00;282.28;102.00;44.00;30.00;90.00;
  210.00;0.345;1000.00; 300.00;4.00;358.00;124.00;51.00;37.00;90.00;
  210.00;0.345;1000.00; 350.00;4.00;432.79;146.00;59.00;43.00;90.00;
  210.00;0.345;1000.00; 400.00;4.00;506.93;168.00;66.00;50.00;90.00;
  210.00;0.345;1000.00; 450.00;4.00;577.83;174.00;86.00;52.00;90.00;
  210.00;0.345;1000.00; 500.00;4.00;643.15;170.00;114.00;51.00;90.00;